# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.median.wait.ms,1781083848958000000,1781083908951000000,0
writeAction.max.wait.ms,1781083848958000000,1781083908951000000,18
DiskQueryRelay.tasksRequested,1781083848958000000,1781083908951000000,1426
parser.HTML.size.bytes,1781083848958000000,1781083908951000000,109719
writeAction.count,1781083848958000000,1781083908951000000,7
LowMemory.gcOverloaded,1781083848958000000,1781083908951000000,0
writeAction.wait.ms,1781083848958000000,1781083908951000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1781083848958000000,1781083908951000000,87810
DiskQueryRelay.taskExecutionTotalTimeUs,1781083848958000000,1781083908951000000,53800
lexer.HTML.size.bytes,1781083848958000000,1781083908951000000,109719
DiskQueryRelay.tasksExecuted,1781083848958000000,1781083908951000000,1426
lexer.HTML.time.ns,1781083848958000000,1781083908951000000,5512709
cacheStateStorage.get.counter,1781083848958000000,1781083908951000000,1
cacheStateStorage.get.duration,1781083848958000000,1781083908951000000,0
cacheStateStorage.set.counter,1781083848958000000,1781083908951000000,114
cacheStateStorage.set.duration,1781083848958000000,1781083908951000000,5
Indexes.stubs.lookupDurationMaxMs,1781083848958000000,1781083908951000000,0.0
Indexes.stubs.lookups,1781083848958000000,1781083908951000000,0
Indexing.cache.totalCacheEvicted,1781083848958000000,1781083908951000000,6510
Indexes.allKeys.lookupDurationMaxMs,1781083848958000000,1781083908951000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1781083848958000000,1781083908951000000,9
Indexes.stubs.lookupDurationAvgMs,1781083848958000000,1781083908951000000,0.0
Indexing.writesQueuedMax,1781083848958000000,1781083908951000000,0
Indexing.writesQueuedMin,1781083848958000000,1781083908951000000,0
Indexes.entries.lookupDurationAvgMs,1781083848958000000,1781083908951000000,0.0
Indexes.entries.lookupDurationMaxMs,1781083848958000000,1781083908951000000,0.0
Indexes.entries.lookups,1781083848958000000,1781083908951000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1781083848958000000,1781083908951000000,2
Indexing.totalTimeIndexersSleptMs,1781083848958000000,1781083908951000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1781083848958000000,1781083908951000000,0
Indexes.allKeys.lookups,1781083848958000000,1781083908951000000,0
Indexing.writesQueuedAvg,1781083848958000000,1781083908951000000,0.0
Indexes.stubs.lookupDuration90PMs,1781083848958000000,1781083908951000000,0.0
Indexes.entries.lookupDuration90PMs,1781083848958000000,1781083908951000000,0.0
Indexing.cache.totalCacheMisses,1781083848958000000,1781083908951000000,6510
Indexing.writer_0.totalTimeSpentWritingMs,1781083848958000000,1781083908951000000,8
Indexes.allKeys.lookupDuration90PMs,1781083848958000000,1781083908951000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1781083848958000000,1781083908951000000,0.0
Indexing.cache.totalCacheAccesses,1781083848958000000,1781083908951000000,19759
jps.project.serializers.load.ms,1781083848958000000,1781083908951000000,0
jps.artifact.entities.serializer.load.entities.ms,1781083848958000000,1781083908951000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1781083848958000000,1781083908951000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1781083848958000000,1781083908951000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1781083848958000000,1781083908951000000,0
jps.global.handle.before.change.events.ms,1781083848958000000,1781083908951000000,0
jps.global.initialize.library.bridges.after.loading.ms,1781083848958000000,1781083908951000000,0
jps.module.iml.entities.serializer.save.entities.ms,1781083848958000000,1781083908951000000,7
workspaceModel.mutableEntityStorage.referrers.ms,1781083848958000000,1781083908951000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1781083848958000000,1781083908951000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1781083848958000000,1781083908951000000,0
jps.modifiable.module.model.bridge.load.module.ms,1781083848958000000,1781083908951000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1781083848958000000,1781083908951000000,0
jps.artifact.entities.serializer.save.entities.ms,1781083848958000000,1781083908951000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1781083848958000000,1781083908951000000,0
jps.save.changed.project.entities.ms,1781083848958000000,1781083908951000000,12
workspaceModel.global.updates.count,1781083848958000000,1781083908951000000,1
jps.module.iml.entities.serializer.load.entities.ms,1781083848958000000,1781083908951000000,0
jps.apply.loaded.storage.ms,1781083848958000000,1781083908951000000,0
jps.facet.change.listener.process.change.events.ms,1781083848958000000,1781083908951000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1781083848958000000,1781083908951000000,0
jps.global.get.library.by.name.ms,1781083848958000000,1781083908951000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1781083848958000000,1781083908951000000,0
workspaceModel.mutableEntityStorage.instances.count,1781083848958000000,1781083908951000000,6
workspaceModel.orphan.listener.update.ms,1781083848958000000,1781083908951000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1781083848958000000,1781083908951000000,0
jps.facet.change.listener.init.bridge.ms,1781083848958000000,1781083908951000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1781083848958000000,1781083908951000000,0
